RUNID,DB,WORKLOAD,THREADS,RECORDS,OP,METRIC,VALUE
1,cassandra,workloade,NA,NA,[OVERALL],RunTime(ms),902253
1,cassandra,workloade,NA,NA,[OVERALL],Throughput(ops/sec),39.01677245739277
1,cassandra,workloade,NA,NA,[INSERT],Operations,1769
1,cassandra,workloade,NA,NA,[INSERT],AverageLatency(us),1970.4364047484455
1,cassandra,workloade,NA,NA,[INSERT],MinLatency(us),666
1,cassandra,workloade,NA,NA,[INSERT],MaxLatency(us),23071
1,cassandra,workloade,NA,NA,[INSERT],95thPercentileLatency(us),2679
1,cassandra,workloade,NA,NA,[INSERT],99thPercentileLatency(us),3125
1,cassandra,workloade,NA,NA,[INSERT],Return=OK,1769
1,cassandra,workloade,NA,NA,[SCAN],Operations,33434
1,cassandra,workloade,NA,NA,[SCAN],AverageLatency(us),1381.9179278578692
1,cassandra,workloade,NA,NA,[SCAN],MinLatency(us),346
1,cassandra,workloade,NA,NA,[SCAN],MaxLatency(us),137983
1,cassandra,workloade,NA,NA,[SCAN],95thPercentileLatency(us),2493
1,cassandra,workloade,NA,NA,[SCAN],99thPercentileLatency(us),3145
1,cassandra,workloade,NA,NA,[SCAN],Return=OK,33434
