RUNID,DB,WORKLOAD,THREADS,RECORDS,OP,METRIC,VALUE
1,cassandra,workloade,NA,NA,[OVERALL],RunTime(ms),902240
1,cassandra,workloade,NA,NA,[OVERALL],Throughput(ops/sec),38.984084057457
1,cassandra,workloade,NA,NA,[INSERT],Operations,1802
1,cassandra,workloade,NA,NA,[INSERT],AverageLatency(us),1978.2097669256382
1,cassandra,workloade,NA,NA,[INSERT],MinLatency(us),654
1,cassandra,workloade,NA,NA,[INSERT],MaxLatency(us),16591
1,cassandra,workloade,NA,NA,[INSERT],95thPercentileLatency(us),2687
1,cassandra,workloade,NA,NA,[INSERT],99thPercentileLatency(us),3299
1,cassandra,workloade,NA,NA,[INSERT],Return=OK,1802
1,cassandra,workloade,NA,NA,[SCAN],Operations,33371
1,cassandra,workloade,NA,NA,[SCAN],AverageLatency(us),1423.911030535495
1,cassandra,workloade,NA,NA,[SCAN],MinLatency(us),351
1,cassandra,workloade,NA,NA,[SCAN],MaxLatency(us),112127
1,cassandra,workloade,NA,NA,[SCAN],95thPercentileLatency(us),2533
1,cassandra,workloade,NA,NA,[SCAN],99thPercentileLatency(us),3387
1,cassandra,workloade,NA,NA,[SCAN],Return=OK,33371
