RUNID,DB,WORKLOAD,THREADS,RECORDS,OP,METRIC,VALUE
1,cassandra,workloade,NA,NA,[OVERALL],RunTime(ms),902268
1,cassandra,workloade,NA,NA,[OVERALL],Throughput(ops/sec),39.056023265814595
1,cassandra,workloade,NA,NA,[INSERT],Operations,1768
1,cassandra,workloade,NA,NA,[INSERT],AverageLatency(us),1979.281108597285
1,cassandra,workloade,NA,NA,[INSERT],MinLatency(us),568
1,cassandra,workloade,NA,NA,[INSERT],MaxLatency(us),31279
1,cassandra,workloade,NA,NA,[INSERT],95thPercentileLatency(us),2595
1,cassandra,workloade,NA,NA,[INSERT],99thPercentileLatency(us),2961
1,cassandra,workloade,NA,NA,[INSERT],Return=OK,1768
1,cassandra,workloade,NA,NA,[SCAN],Operations,33471
1,cassandra,workloade,NA,NA,[SCAN],AverageLatency(us),1344.760718233695
1,cassandra,workloade,NA,NA,[SCAN],MinLatency(us),355
1,cassandra,workloade,NA,NA,[SCAN],MaxLatency(us),43199
1,cassandra,workloade,NA,NA,[SCAN],95thPercentileLatency(us),2451
1,cassandra,workloade,NA,NA,[SCAN],99thPercentileLatency(us),2853
1,cassandra,workloade,NA,NA,[SCAN],Return=OK,33471
